entity,url,status,indexing,intent
Главная,/,publish,index,"Передать B2B-задачу на проверку и расчёт"
Услуги,/uslugi/,archive,noindex-until-items,"Подтверждённые услуги"
Изделия,/izdeliya/,archive,noindex-until-items,"Подтверждённые типы изделий"
Материалы,/materialy/,archive,noindex-until-items,"Подтверждённые материалы"
Отрасли,/otrasli/,archive,noindex-until-items,"Подтверждённые отраслевые задачи"
Оборудование,/oborudovanie/,archive,noindex-until-items,"Подтверждённое оборудование"
Проекты,/proekty/,archive,noindex-until-items,"Реальные кейсы"
О компании,/o-kompanii/,publish,index,"Юридическая сущность и подход"
Контакты,/kontakty/,publish,index,"Телефон e-mail адрес заявка"
Реквизиты,/rekvizity/,publish,index,"Официальные реквизиты"
Требования к файлам,/trebovaniya-k-faylam/,publish,index,"Подготовка исходных данных"
FAQ,/faq/,publish,index,"Прямые ответы"
Статьи,/stati/,publish,index-when-content,"Экспертные материалы"
Политика,/politika-konfidencialnosti/,publish,index,"Обработка данных"
Согласие,/soglasie-na-obrabotku-personalnyh-dannyh/,publish,index,"Согласие пользователя"
HTML-карта,/karta-sayta/,publish,index,"Навигация"
XML-карта,/wp-sitemap.xml,system,index,"Машиночитаемая карта"
404,/not-found-example,system,noindex,"Ошибка маршрута"
